[2022-10-19 09:10:26,758] INFO [shopproduct:102] productcontent user_id:ham prodnum:146 prodname:그린라 prodimg:brandimgs/2_1YsMwfv.jpg prodbrand:스파오 proditems:반팔티 prodname:그린라 date:2022-10-19 09:10:26
[2022-10-19 09:10:30,592] INFO [shopproduct:102] productcontent user_id:ham prodnum:914 prodname:나이키 히트텍 prodimg:brandimgs/9_eC37WcM.jpg prodbrand:나이키 proditems:긴팔티 prodname:나이키 히트텍 date:2022-10-19 09:10:30
[2022-10-19 09:10:33,284] INFO [shopproduct:102] productcontent user_id:ham prodnum:914 prodname:나이키 히트텍 prodimg:brandimgs/9_eC37WcM.jpg prodbrand:나이키 proditems:긴팔티 prodname:나이키 히트텍 date:2022-10-19 09:10:33
[2022-10-19 09:10:36,850] INFO [shopproduct:102] productcontent user_id:ham prodnum:231 prodname:롱 레드와인  스커트 prodimg:brandimgs/7_tdTilGt.jpg prodbrand:아디다스 proditems:치마 prodname:롱 레드와인  스커트 date:2022-10-19 09:10:36
[2022-10-19 09:10:48,186] INFO [shopproduct:102] productcontent user_id:ham prodnum:92 prodname:아디다스 맨인블랙티2 prodimg:brandimgs/7_xQ4ZPr3.jpg prodbrand:아디다스 proditems:긴팔티 prodname:아디다스 맨인블랙티2 date:2022-10-19 09:10:48
[2022-10-19 09:10:49,619] INFO [shopproduct:102] productcontent user_id:ham prodnum:92 prodname:아디다스 맨인블랙티2 prodimg:brandimgs/7_xQ4ZPr3.jpg prodbrand:아디다스 proditems:긴팔티 prodname:아디다스 맨인블랙티2 date:2022-10-19 09:10:49
[2022-10-19 09:10:57,449] INFO [shopproduct:102] productcontent user_id:ham prodnum:474 prodname:IU PICK OUTER 청첨 prodimg:brandimgs/nb_0_3_7.jpg prodbrand:뉴발란스 proditems:아우터 prodname:IU PICK OUTER 청첨 date:2022-10-19 09:10:57
[2022-10-19 09:10:59,331] INFO [shopproduct:102] productcontent user_id:ham prodnum:474 prodname:IU PICK OUTER 청첨 prodimg:brandimgs/nb_0_3_7.jpg prodbrand:뉴발란스 proditems:아우터 prodname:IU PICK OUTER 청첨 date:2022-10-19 09:10:59
[2022-10-19 09:11:01,492] INFO [shopproduct:82] productcontent user_id:jk prodnum:412 prodname:404에러티 prodimg:brandimgs/404_0_0.jpg prodbrand:무지 proditems:반팔티 prodname:404에러티 date:2022-10-19 09:11:01
[2022-10-19 09:11:09,098] INFO [shopproduct:102] productcontent user_id:ham prodnum:701 prodname:테크 플리스 후드 집업 prodimg:brandimgs/43.jpg prodbrand:나이키 proditems:아우터 prodname:테크 플리스 후드 집업 date:2022-10-19 09:11:09
